날짜,종목코드,Close,Open,High,Low,Volume,일별수익률,변동성(20일),종목명,시장구분
2010-03-15,005930,15360,15640,15660,15280,251707,-0.01285347043701801,282.5802168365201,삼성전자,KOSPI
2010-03-16,005930,15300,15360,15400,15160,331137,-0.00390625,270.7960973053263,삼성전자,KOSPI
2010-03-17,005930,15960,15440,15960,15420,437152,0.04313725490196085,295.0182866767592,삼성전자,KOSPI
2010-03-18,005930,15940,15900,16140,15900,307995,-0.0012531328320801727,316.40081176289164,삼성전자,KOSPI
2010-03-19,005930,16080,16020,16140,15960,214492,0.008782936010037545,348.6681426287994,삼성전자,KOSPI
2010-03-22,005930,16020,16060,16080,15840,184264,-0.003731343283582045,365.173354651424,삼성전자,KOSPI
2010-03-23,005930,16180,16139,16300,16100,198652,0.009987515605493158,395.8468603413592,삼성전자,KOSPI
2010-03-24,005930,16380,16299,16500,16260,318916,0.012360939431396822,435.8609145611838,삼성전자,KOSPI
2010-03-25,005930,16380,16299,16440,16180,189958,0.0,450.89268182830614,삼성전자,KOSPI
2010-03-26,005930,16400,16460,16500,16240,209802,0.0012210012210012167,424.4265481056156,삼성전자,KOSPI
2010-03-29,005930,16360,16200,16500,16200,155679,-0.0024390243902439046,395.94125029379916,삼성전자,KOSPI
2010-03-30,005930,16280,16540,16580,16240,240934,-0.004889975550122272,397.2259068246153,삼성전자,KOSPI
2010-03-31,005930,16360,16280,16680,16260,434300,0.004914004914004844,399.1517321309834,삼성전자,KOSPI
2010-04-01,005930,16900,16520,16900,16480,561659,0.033007334963325086,424.9037042610283,삼성전자,KOSPI
2010-04-02,005930,17140,16920,17200,16820,419069,0.014201183431952646,481.4714288949156,삼성전자,KOSPI
2010-04-05,005930,17400,17220,17400,17140,304516,0.015169194865811031,558.6600510431952,삼성전자,KOSPI
2010-04-06,005930,17380,17480,17500,17220,330287,-0.0011494252873562871,612.4489237565307,삼성전자,KOSPI
2010-04-07,005930,17180,17300,17380,17040,388680,-0.011507479861910253,632.9247065888112,삼성전자,KOSPI
2010-04-08,005930,17260,17140,17260,17060,269327,0.00465657741559955,641.5597769252898,삼성전자,KOSPI
2010-04-09,005930,17120,17280,17320,16960,275789,-0.008111239860950192,629.9365047367921,삼성전자,KOSPI
2010-04-12,005930,16600,17180,17200,16540,497940,-0.030373831775700966,573.5384170127405,삼성전자,KOSPI
2010-04-13,005930,16560,16680,16680,16300,409114,-0.002409638554216831,495.03216269780876,삼성전자,KOSPI
2010-04-14,005930,16900,16700,16940,16660,308499,0.020531400966183666,475.9245849147977,삼성전자,KOSPI
2010-04-15,005930,17100,17240,17240,16880,365104,0.01183431952662728,456.2766935233907,삼성전자,KOSPI
2010-04-16,005930,16960,17100,17160,16820,220112,-0.008187134502923965,435.3957667274881,삼성전자,KOSPI
2010-04-19,005930,16540,16740,16800,16520,247376,-0.024764150943396235,404.3695547912972,삼성전자,KOSPI
2010-04-20,005930,16560,16540,16640,16420,271882,0.0012091898428052694,383.6335971237555,삼성전자,KOSPI
2010-04-21,005930,17040,16760,17060,16700,264254,0.02898550724637672,374.9792976741746,삼성전자,KOSPI
2010-04-22,005930,16820,16980,16980,16660,343557,-0.012910798122065748,360.3667722284097,삼성전자,KOSPI
2010-04-23,005930,16600,16960,16960,16560,309436,-0.013079667063020217,350.0541311523816,삼성전자,KOSPI
2010-04-26,005930,16680,16700,16840,16600,260608,0.004819277108433662,333.24402312325884,삼성전자,KOSPI
2010-04-27,005930,16700,16620,16760,16540,260996,0.0011990407673860837,306.3194067429863,삼성전자,KOSPI
2010-04-28,005930,16500,16400,16500,16360,320393,-0.0119760479041916,294.9594084473075,삼성전자,KOSPI
2010-04-29,005930,16500,16600,16620,16320,226931,0.0,308.0174294453349,삼성전자,KOSPI
2010-04-30,005930,16980,16560,17040,16540,454668,0.029090909090909056,302.8617888706025,삼성전자,KOSPI
2010-05-03,005930,16580,16900,16900,16540,291445,-0.02355712603062421,281.9779759970183,삼성전자,KOSPI
2010-05-04,005930,16680,16800,16860,16600,183456,0.006031363088057962,251.67021026901207,삼성전자,KOSPI
2010-05-06,005930,16280,16339,16380,16200,451765,-0.023980815347721784,259.18089598215374,삼성전자,KOSPI
2010-05-07,005930,15880,15960,15980,15760,759225,-0.02457002457002455,296.6816475618381,삼성전자,KOSPI
2010-05-10,005930,16060,16000,16100,15940,330582,0.01133501259445846,308.2104544147278,삼성전자,KOSPI
2010-05-11,005930,15820,16240,16240,15820,450658,-0.01494396014943955,357.1392180265816,삼성전자,KOSPI
2010-05-12,005930,15780,15940,15960,15640,315809,-0.0025284450063211006,400.23151195014793,삼성전자,KOSPI
2010-05-13,005930,16260,15960,16400,15940,319461,0.03041825095057038,396.17114855498386,삼성전자,KOSPI
2010-05-14,005930,16200,16120,16240,15980,293840,-0.0036900369003689537,376.9950439434203,삼성전자,KOSPI
2010-05-17,005930,15680,15960,15980,15560,530598,-0.032098765432098775,397.6920257792803,삼성전자,KOSPI
2010-05-18,005930,15840,15799,15900,15680,363385,0.010204081632652962,415.76309043543984,삼성전자,KOSPI
2010-05-19,005930,15460,15700,15700,15380,361171,-0.023989898989899006,459.9897024019083,삼성전자,KOSPI
2010-05-20,005930,15120,15300,15439,15100,395806,-0.021992238033635148,499.7883762680344,삼성전자,KOSPI
2010-05-24,005930,15160,14940,15280,14880,354475,0.002645502645502562,531.8844354101609,삼성전자,KOSPI
2010-05-25,005930,14820,15000,15120,14720,511626,-0.02242744063324542,595.614675864581,삼성전자,KOSPI
2010-05-26,005930,15000,15199,15379,14900,460053,0.012145748987854255,619.9108594662762,삼성전자,KOSPI
2010-05-27,005930,15440,14880,15500,14820,444241,0.029333333333333433,605.1324343958944,삼성전자,KOSPI
2010-05-28,005930,15560,15740,15740,15340,450925,0.007772020725388629,592.6168550101422,삼성전자,KOSPI
2010-05-31,005930,15520,15440,15620,15360,255822,-0.0025706940874036244,576.7823634065528,삼성전자,KOSPI
2010-06-01,005930,15360,15520,15580,15300,228117,-0.010309278350515427,513.5172830587172,삼성전자,KOSPI
2010-06-03,005930,15540,15599,15679,15480,293327,0.01171875,473.4765041689046,삼성전자,KOSPI
2010-06-04,005930,15860,15500,15940,15480,252280,0.0205920205920207,413.3763418484502,삼성전자,KOSPI
2010-06-07,005930,15740,15580,15740,15540,303328,-0.007566204287515754,385.5208370367034,삼성전자,KOSPI
2010-06-08,005930,15700,15700,15960,15520,290449,-0.0025412960609910717,380.8356462749922,삼성전자,KOSPI
2010-06-09,005930,15400,15840,15840,15320,359716,-0.019108280254777066,366.8514685809596,삼성전자,KOSPI
2010-06-10,005930,15460,15540,15600,15420,356286,0.003896103896103842,362.3824673347011,삼성전자,KOSPI
2010-06-11,005930,15940,15700,15940,15660,366275,0.031047865459249646,369.5388306638801,삼성전자,KOSPI
2010-06-14,005930,16140,15820,16179,15820,241981,0.012547051442910906,358.25747871138486,삼성전자,KOSPI
2010-06-15,005930,15960,16200,16200,15960,190780,-0.01115241635687736,338.72050269709865,삼성전자,KOSPI
2010-06-16,005930,16380,16299,16440,16180,376553,0.026315789473684292,387.18960403617626,삼성전자,KOSPI
2010-06-17,005930,16340,16240,16340,16200,233390,-0.0024420024420024333,420.26933719875456,삼성전자,KOSPI
2010-06-18,005930,16440,16500,16500,16240,191872,0.006119951040391758,459.0424816942401,삼성전자,KOSPI
2010-06-21,005930,16600,16600,16780,16500,284790,0.009732360097323589,488.47345453922094,삼성전자,KOSPI
2010-06-22,005930,16320,16540,16540,16260,296417,-0.016867469879518038,487.59776347659255,삼성전자,KOSPI
2010-06-23,005930,16100,16220,16220,16000,350031,-0.013480392156862697,436.8788824087786,삼성전자,KOSPI
2010-06-24,005930,16400,16160,16460,16100,283144,0.01863354037267073,406.2926091015352,삼성전자,KOSPI
2010-06-25,005930,16100,16180,16200,16040,340230,-0.018292682926829285,392.68441862593113,삼성전자,KOSPI
2010-06-28,005930,15920,16100,16160,15919,261209,-0.011180124223602483,382.31841234899895,삼성전자,KOSPI
2010-06-29,005930,15840,16020,16080,15740,251786,-0.005025125628140725,369.3678810873435,삼성전자,KOSPI
2010-06-30,005930,15480,15399,15600,15399,536406,-0.022727272727272707,359.6650488557758,삼성전자,KOSPI
2010-07-01,005930,15320,15580,15600,15199,444516,-0.01033591731266148,376.87915136930656,삼성전자,KOSPI
2010-07-02,005930,15340,15400,15480,15260,233128,0.0013054830287206887,402.1049875998035,삼성전자,KOSPI
2010-07-05,005930,15340,15260,15400,15220,200619,0.0,422.3293800615397,삼성전자,KOSPI
2010-07-06,005930,15500,15240,15500,15100,358388,0.010430247718383301,430.255737904803,삼성전자,KOSPI
2010-07-07,005930,15380,15599,15620,15299,324156,-0.007741935483870921,431.53947187885404,삼성전자,KOSPI
2010-07-08,005930,15500,15660,15680,15399,295553,0.007802340702210753,429.4071800934354,삼성전자,KOSPI
2010-07-09,005930,15920,15580,15919,15460,372579,0.02709677419354839,429.3740854583151,삼성전자,KOSPI
2010-07-12,005930,16040,15980,16040,15840,252065,0.007537688442211143,427.2051152857634,삼성전자,KOSPI
2010-07-13,005930,15920,15960,16160,15880,307189,-0.007481296758104716,427.05724995233214,삼성전자,KOSPI
2010-07-14,005930,16480,16260,16560,16260,664091,0.035175879396984966,433.40026473652597,삼성전자,KOSPI
2010-07-15,005930,16400,16500,16500,16360,321508,-0.004854368932038833,436.69934255673,삼성전자,KOSPI
2010-07-16,005930,16040,16320,16400,16040,338810,-0.02195121951219514,420.33946181378366,삼성전자,KOSPI
2010-07-19,005930,15900,15720,15980,15720,292107,-0.00872817955112215,386.50389798539067,삼성전자,KOSPI
2010-07-20,005930,15960,15900,16040,15720,231722,0.0037735849056603765,372.1686092139114,삼성전자,KOSPI
2010-07-21,005930,16340,16340,16360,16120,331706,0.023809523809523725,384.52157560437325,삼성전자,KOSPI
2010-07-22,005930,16160,16240,16340,16020,309521,-0.011015911872705009,370.1265786329494,삼성전자,KOSPI
2010-07-23,005930,16220,16300,16340,16140,282472,0.003712871287128605,375.42957851114926,삼성전자,KOSPI
2010-07-26,005930,16360,16260,16400,16180,212627,0.008631319358816336,392.26199622728825,삼성전자,KOSPI
2010-07-27,005930,16580,16480,16600,16420,382877,0.01344743276283622,422.79645469808486,삼성전자,KOSPI
2010-07-28,005930,16740,16640,16800,16620,465199,0.00965018094089265,448.5954689214422,삼성전자,KOSPI
2010-07-29,005930,16540,16780,16800,16480,297472,-0.01194743130227005,438.0951590933859,삼성전자,KOSPI
2010-07-30,005930,16200,16440,16540,16200,328824,-0.02055622732769047,407.6427744716615,삼성전자,KOSPI
2010-08-02,005930,16200,16340,16360,16200,249388,0.0,369.4932518435231,삼성전자,KOSPI
2010-08-03,005930,16300,16400,16440,16300,262302,0.006172839506172867,341.172899522262,삼성전자,KOSPI
2010-08-04,005930,16120,16340,16360,16120,213434,-0.011042944785276121,288.26888033297575,삼성전자,KOSPI
2010-08-05,005930,16080,16220,16360,16060,280897,-0.002481389578163795,239.63788471249728,삼성전자,KOSPI
2010-08-06,005930,16020,16200,16200,15979,247165,-0.003731343283582045,233.9140642921897,삼성전자,KOSPI
2010-08-09,005930,16040,15980,16040,15960,182922,0.0012484394506866447,233.9140642921897,삼성전자,KOSPI
2010-08-10,005930,15860,16000,16080,15819,281589,-0.01122194513715713,238.44010612842118,삼성전자,KOSPI
2010-08-11,005930,15580,15680,15780,15540,359158,-0.017654476670870167,270.8971449792359,삼성전자,KOSPI
2010-08-12,005930,15320,15360,15539,15300,428357,-0.016688061617458283,326.9894574189882,삼성전자,KOSPI
2010-08-13,005930,15620,15400,15640,15340,286706,0.019582245430809442,345.879504421632,삼성전자,KOSPI
2010-08-16,005930,15640,15460,15660,15340,205733,0.001280409731113874,358.7170120538591,삼성전자,KOSPI
2010-08-17,005930,15640,15540,15660,15420,289608,0.0,371.902647136821,삼성전자,KOSPI
2010-08-18,005930,15560,15680,15700,15480,234522,-0.005115089514066473,383.6925852815068,삼성전자,KOSPI
2010-08-19,005930,15780,15580,15780,15539,244134,0.014138817480719768,386.7815921162826,삼성전자,KOSPI
2010-08-20,005930,15680,15600,15720,15539,246690,-0.006337135614702172,390.9112161954103,삼성전자,KOSPI
2010-08-23,005930,15800,15720,15820,15640,181946,0.007653061224489832,383.22042578240587,삼성전자,KOSPI
2010-08-24,005930,15660,15699,15719,15500,227569,-0.008860759493670933,360.02777670619577,삼성전자,KOSPI
2010-08-25,005930,15440,15520,15560,15439,185769,-0.01404853128991057,319.01823079403107,삼성전자,KOSPI
2010-08-26,005930,15460,15440,15660,15400,208913,0.0012953367875647714,286.54015976456253,삼성전자,KOSPI
2010-08-27,005930,15320,15300,15440,15300,256176,-0.009055627425614499,289.4350213414985,삼성전자,KOSPI
2010-08-30,005930,15520,15500,15559,15440,140117,0.01305483028720622,274.06491739617957,삼성전자,KOSPI
2010-08-31,005930,15120,15320,15439,15119,441643,-0.02577319587628868,270.07016632136265,삼성전자,KOSPI
2010-09-01,005930,15040,15240,15259,15000,389308,-0.005291005291005346,281.6100327160277,삼성전자,KOSPI
2010-09-02,005930,15180,15200,15240,14980,365551,0.009308510638297962,274.19547387720183,삼성전자,KOSPI
2010-09-03,005930,15220,15220,15280,15120,441942,0.0026350461133068936,262.2654340448685,삼성전자,KOSPI
2010-09-06,005930,15600,15440,15599,15360,394601,0.024967148488830526,233.58983395328278,삼성전자,KOSPI
2010-09-07,005930,15760,15660,15800,15500,320803,0.01025641025641022,226.48573790349505,삼성전자,KOSPI
2010-09-08,005930,15420,15520,15620,15420,219482,-0.021573604060913687,226.22531851419404,삼성전자,KOSPI
2010-09-09,005930,15120,15339,15480,15119,617488,-0.01945525291828798,238.19275697151383,삼성전자,KOSPI
2010-09-10,005930,15320,15199,15440,15140,280275,0.013227513227513255,238.29216918468657,삼성전자,KOSPI
2010-09-13,005930,15400,15400,15519,15320,234851,0.005221932114882533,234.98264213611526,삼성전자,KOSPI
2010-09-14,005930,15200,15500,15620,15200,371530,-0.012987012987012991,237.0431894913182,삼성전자,KOSPI
2010-09-15,005930,15140,15260,15340,15020,389289,-0.003947368421052588,243.438093286906,삼성전자,KOSPI
2010-09-16,005930,15140,15080,15260,15080,234815,0.0,233.9838051076143,삼성전자,KOSPI
2010-09-17,005930,15460,15240,15560,15159,447649,0.021136063408190298,223.94548208743768,삼성전자,KOSPI
2010-09-20,005930,15600,15480,15599,15400,296452,0.009055627425614388,207.39994417094644,삼성전자,KOSPI
2010-09-24,005930,15240,15580,15600,15160,655763,-0.023076923076923106,195.94574974240118,삼성전자,KOSPI
2010-09-27,005930,15100,15300,15360,15039,502855,-0.009186351706036766,201.03940435961704,삼성전자,KOSPI
2010-09-28,005930,14900,15100,15120,14900,467300,-0.013245033112582738,218.46353423278705,삼성전자,KOSPI
2010-09-29,005930,15440,15060,15500,15000,708864,0.03624161073825505,220.96439341645336,삼성전자,KOSPI
2010-09-30,005930,15540,15440,15580,15340,337258,0.006476683937823857,222.07395638676226,삼성전자,KOSPI
2010-10-01,005930,15540,15440,15560,15380,296366,0.0,224.3024274219404,삼성전자,KOSPI
2010-10-04,005930,15600,15599,15620,15480,257594,0.0038610038610038533,222.72002722324322,삼성전자,KOSPI
2010-10-05,005930,15460,15440,15580,15420,286977,-0.008974358974358942,220.5256877267926,삼성전자,KOSPI
2010-10-06,005930,15860,15560,15880,15520,471103,0.025873221216041298,244.29490375365265,삼성전자,KOSPI
2010-10-07,005930,15400,15580,15660,15380,511410,-0.0290037831021438,239.37638277738543,삼성전자,KOSPI
2010-10-08,005930,15160,15260,15320,15060,543410,-0.01558441558441559,226.77603140777254,삼성전자,KOSPI
2010-10-11,005930,15060,15240,15260,15060,376032,-0.006596306068601621,235.22441692093926,삼성전자,KOSPI
2010-10-12,005930,14920,15040,15120,14920,370422,-0.009296148738379806,248.66803066275045,삼성전자,KOSPI
2010-10-13,005930,14880,15040,15040,14860,409029,-0.002680965147453085,267.7705223350497,삼성전자,KOSPI
2010-10-14,005930,15000,15059,15059,14840,535249,0.008064516129032251,274.90859725027093,삼성전자,KOSPI
2010-10-15,005930,15080,15000,15120,14900,494223,0.005333333333333412,278.0836678336142,삼성전자,KOSPI
2010-10-18,005930,15020,15140,15240,14960,276635,-0.003978779840848823,282.43303817478215,삼성전자,KOSPI
2010-10-19,005930,14820,15000,15020,14820,389964,-0.013315579227696439,298.7764522532842,삼성전자,KOSPI
2010-10-20,005930,14900,14800,14980,14700,369809,0.005398110661268607,304.63783502106594,삼성전자,KOSPI
